"동별(1)",동별(2),동별(3),2025 3/4,2025 3/4,2025 3/4,2025 3/4,2025 3/4,2025 3/4,2025 3/4,2025 3/4,2025 3/4,2025 3/4,2025 3/4,2025 3/4
"동별(1)",동별(2),동별(3),세대 (세대),계 (명),계 (명),계 (명),한국인 (명),한국인 (명),한국인 (명),등록외국인 (명),등록외국인 (명),등록외국인 (명),세대당인구 (명),65세이상고령자 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계
"합계",소계,소계,4505357,9594329,4610784,4983545,9318500,4491997,4826503,275829,118787,157042,2.07,1894245
"합계",종로구,소계,72402,149165,70897,78268,137545,66032,71513,11620,4865,6755,1.9,30658
"합계",종로구,사직동,4583,9151,4055,5096,8913,3919,4994,238,136,102,1.94,1963
"합계",종로구,삼청동,1078,2384,1157,1227,2138,1024,1114,246,133,113,1.98,641
"합계",종로구,부암동,4122,9207,4297,4910,8952,4188,4764,255,109,146,2.17,2033
"합계",종로구,평창동,7096,17290,8026,9264,17088,7923,9165,202,103,99,2.41,4019
"합계",종로구,무악동,2960,7741,3541,4200,7716,3528,4188,25,13,12,2.61,1587
"합계",종로구,교남동,4324,9628,4423,5205,9482,4341,5141,146,82,64,2.19,1783
"합계",종로구,가회동,1833,3767,1759,2008,3671,1706,1965,96,53,43,2,906
"합계",종로구,종로1.2.3.4가동,4908,8645,5000,3645,6650,4012,2638,1995,988,1007,1.35,1891
"합계",종로구,종로5.6가동,3539,5791,3006,2785,5255,2726,2529,536,280,256,1.48,1135
"합계",종로구,이화동,4452,7638,3488,4150,7093,3281,3812,545,207,338,1.59,1468
"합계",종로구,창신1동,2662,5436,2863,2573,4468,2354,2114,968,509,459,1.68,1369
"합계",종로구,창신2동,3894,8463,4328,4135,7201,3705,3496,1262,623,639,1.85,2046
"합계",종로구,창신3동,2744,6381,3147,3234,6152,3012,3140,229,135,94,2.24,1450
"합계",종로구,숭인1동,3015,6074,2928,3146,5728,2783,2945,346,145,201,1.9,1390
